Datetime,temperature,dew_point,relative_humidity,precipitation,snow_depth,wind_speed,pressure,is_extreme_heat,is_extreme_cold
2018-01-01 00:00:00,-13.0,-19.9,56.0,,,19.0,1037.0,0,1
2018-01-01 01:00:00,-13.3,-20.0,57.0,0.0,,18.4,1038.5,0,1
2018-01-01 02:00:00,-14.4,-20.6,59.0,0.0,,16.6,1038.9,0,1
2018-01-01 03:00:00,-15.6,-21.0,63.0,0.0,,16.6,1039.1,0,1
2018-01-01 04:00:00,-15.6,-22.2,57.0,0.0,,18.4,1039.5,0,1
2018-01-01 05:00:00,-16.7,-22.2,62.0,0.0,,11.2,1039.8,0,1
2018-01-01 06:00:00,-17.2,-23.9,56.0,0.0,,18.4,1039.9,0,1
2018-01-01 07:00:00,-18.3,-24.3,59.0,0.0,,13.0,1040.3,0,1
2018-01-01 08:00:00,-18.9,-24.9,59.0,0.0,,16.6,1040.7,0,1
2018-01-01 09:00:00,-19.4,-25.5,58.0,0.0,,18.4,1040.8,0,1
2018-01-01 10:00:00,-20.0,-26.1,58.0,0.0,,18.4,1040.9,0,1
2018-01-01 11:00:00,-20.6,-26.1,61.0,0.0,,14.8,1041.1,0,1
2018-01-01 12:00:00,-21.1,-26.6,61.0,0.0,,20.5,1041.5,0,1
2018-01-01 13:00:00,-21.7,-26.7,64.0,0.0,,16.6,1041.9,0,1
2018-01-01 14:00:00,-21.7,-26.7,64.0,0.0,,14.8,1042.3,0,1
2018-01-01 15:00:00,-21.1,-26.1,64.0,0.0,,16.6,1042.5,0,1
2018-01-01 16:00:00,-20.0,-26.1,58.0,0.0,,18.4,1043.0,0,1
2018-01-01 17:00:00,-18.9,-24.9,59.0,0.0,,16.6,1042.6,0,1
2018-01-01 18:00:00,-17.2,-23.9,56.0,0.0,,16.6,1042.0,0,1
2018-01-01 19:00:00,-16.7,-23.2,57.0,0.0,,18.4,1041.7,0,1
2018-01-01 20:00:00,-16.1,-23.2,54.0,0.0,,18.4,1041.5,0,1
2018-01-01 21:00:00,-16.1,-22.8,56.0,0.0,,20.5,1041.5,0,1
2018-01-01 22:00:00,-16.7,-23.2,57.0,0.0,,18.4,1042.0,0,1
2018-01-01 23:00:00,-17.8,-23.3,62.0,0.0,,14.8,1042.6,0,1
2018-01-02 00:00:00,-18.3,-23.2,65.0,0.0,,18.4,1042.9,0,1
2018-01-02 01:00:00,-19.4,-23.8,68.0,0.0,,18.4,1043.0,0,1
2018-01-02 02:00:00,-20.0,-23.9,71.0,0.0,,16.6,1043.1,0,1
2018-01-02 03:00:00,-20.6,-23.9,75.0,0.0,,14.8,1042.9,0,1
2018-01-02 04:00:00,-20.6,-24.3,72.0,0.0,,11.2,1042.6,0,1
2018-01-02 05:00:00,-20.6,-24.3,72.0,0.0,,14.8,1042.4,0,1
2018-01-02 06:00:00,-20.6,-24.3,72.0,0.0,,14.8,1041.7,0,1
2018-01-02 07:00:00,-20.6,-24.3,72.0,0.0,,13.0,1041.1,0,1
2018-01-02 08:00:00,-21.1,-23.9,78.0,0.0,,14.8,1040.9,0,1
2018-01-02 09:00:00,-21.7,-24.3,79.0,0.0,,13.0,1040.8,0,1
2018-01-02 10:00:00,-22.2,-25.0,78.0,0.0,,14.8,1040.5,0,1
2018-01-02 11:00:00,-22.2,-25.0,78.0,0.0,,11.2,1040.1,0,1
2018-01-02 12:00:00,-22.8,-25.6,78.0,0.0,,13.0,1040.1,0,1
2018-01-02 13:00:00,-22.8,-25.6,78.0,0.0,,13.0,1040.3,0,1
2018-01-02 14:00:00,-22.8,-26.1,74.0,0.0,,18.4,1039.9,0,1
2018-01-02 15:00:00,-22.2,-25.6,74.0,0.0,,13.0,1039.4,0,1
2018-01-02 16:00:00,-19.4,-24.5,64.0,0.0,,14.8,1038.9,0,1
2018-01-02 17:00:00,-17.2,-23.9,56.0,0.0,,20.5,1038.0,0,1
2018-01-02 18:00:00,-16.1,-22.2,59.0,0.0,,20.5,1036.3,0,1
2018-01-02 19:00:00,-15.0,-21.0,60.0,0.0,,27.7,1034.6,0,1
2018-01-02 20:00:00,-14.4,-20.6,59.0,0.0,,22.3,1033.5,0,1
2018-01-02 21:00:00,-14.4,-21.0,57.0,0.0,,25.9,1032.6,0,1
2018-01-02 22:00:00,-15.0,-21.6,57.0,0.0,,18.4,1032.2,0,1
2018-01-02 23:00:00,-16.1,-21.1,65.0,0.0,,20.5,1030.7,0,1
2018-01-03 00:00:00,-16.7,-21.7,65.0,0.0,,24.1,1029.7,0,1
2018-01-03 01:00:00,-17.2,-21.7,68.0,0.0,,22.3,1028.5,0,1
2018-01-03 02:00:00,-16.7,-21.0,69.0,0.0,,24.1,1028.0,0,1
2018-01-03 03:00:00,-16.1,-20.6,68.0,0.0,,22.3,1026.5,0,1
2018-01-03 04:00:00,-15.6,-19.3,73.0,0.0,,18.4,1025.3,0,1
2018-01-03 05:00:00,-14.4,-18.8,69.0,0.0,,20.5,1024.2,0,1
2018-01-03 06:00:00,-13.9,-18.3,69.0,0.0,,18.4,1022.5,0,1
2018-01-03 07:00:00,-11.7,-17.7,61.0,0.0,,24.1,1021.5,0,1
2018-01-03 08:00:00,-11.1,-17.1,61.0,0.0,,20.5,1020.7,0,1
2018-01-03 09:00:00,-11.1,-16.7,63.0,0.0,,16.6,1020.2,0,1
2018-01-03 10:00:00,-10.0,-15.5,64.0,,,22.3,1019.4,0,1
2018-01-03 11:00:00,-10.0,-14.4,70.0,,,16.6,1019.2,0,1
2018-01-03 12:00:00,-10.0,-13.3,77.0,,,20.5,1019.2,0,1
2018-01-03 13:00:00,-9.4,-12.8,76.0,0.0,,16.6,1019.5,0,1
2018-01-03 14:00:00,-9.4,-12.2,80.0,0.0,,14.8,1019.2,0,1
2018-01-03 15:00:00,-8.9,-11.7,80.0,0.0,,16.6,1019.5,0,1
2018-01-03 16:00:00,-8.3,-11.8,76.0,,,16.6,1019.8,0,1
2018-01-03 17:00:00,-8.3,-12.8,70.0,,,20.5,1019.9,0,1
2018-01-03 18:00:00,-7.8,-12.8,67.0,,,18.4,1019.6,0,1
2018-01-03 19:00:00,-8.3,-13.9,64.0,,,27.7,1019.3,0,1
2018-01-03 20:00:00,-8.3,-14.3,62.0,0.0,,25.9,1019.7,0,1
2018-01-03 21:00:00,-8.3,-15.1,58.0,0.0,,27.7,1020.3,0,1
2018-01-03 22:00:00,-8.9,-15.6,58.0,0.0,,24.1,1021.2,0,1
2018-01-03 23:00:00,-9.4,-15.5,61.0,0.0,,18.4,1022.1,0,1
2018-01-04 00:00:00,-10.0,-16.1,61.0,0.0,,18.4,1022.9,0,1
2018-01-04 01:00:00,-10.6,-16.6,61.0,0.0,,20.5,1023.8,0,1
2018-01-04 02:00:00,-10.6,-17.2,58.0,0.0,,24.1,1024.3,0,1
2018-01-04 03:00:00,-11.1,-17.1,61.0,0.0,,27.7,1024.5,0,1
2018-01-04 04:00:00,-11.7,-17.7,61.0,0.0,,16.6,1024.6,0,1
2018-01-04 05:00:00,-12.2,-18.4,60.0,0.0,,22.3,1024.8,0,1
2018-01-04 06:00:00,-13.3,-18.8,63.0,0.0,,24.1,1025.0,0,1
2018-01-04 07:00:00,-14.4,-19.3,66.0,0.0,,24.1,1025.3,0,1
2018-01-04 08:00:00,-14.4,-20.1,62.0,0.0,,24.1,1025.8,0,1
2018-01-04 09:00:00,-15.0,-19.9,66.0,0.0,,22.3,1026.2,0,1
2018-01-04 10:00:00,-15.6,-20.5,66.0,0.0,,22.3,1026.5,0,1
2018-01-04 11:00:00,-16.1,-20.6,68.0,0.0,,22.3,1026.6,0,1
2018-01-04 12:00:00,-16.7,-21.0,69.0,0.0,,22.3,1027.1,0,1
2018-01-04 13:00:00,-16.7,-21.0,69.0,0.0,,16.6,1028.0,0,1
2018-01-04 14:00:00,-16.1,-20.0,72.0,0.0,,18.4,1028.0,0,1
2018-01-04 15:00:00,-15.6,-20.5,66.0,0.0,,14.8,1028.3,0,1
2018-01-04 16:00:00,-13.9,-19.4,63.0,0.0,,20.5,1028.6,0,1
2018-01-04 17:00:00,-12.8,-19.9,55.0,0.0,,22.3,1028.2,0,1
2018-01-04 18:00:00,-12.2,-20.0,52.0,0.0,,24.1,1027.6,0,1
2018-01-04 19:00:00,-11.7,-20.0,50.0,0.0,,20.5,1027.3,0,1
2018-01-04 20:00:00,-10.6,-19.0,50.0,0.0,,18.4,1027.3,0,1
2018-01-04 21:00:00,-10.6,-19.5,48.0,0.0,,20.5,1027.6,0,1
2018-01-04 22:00:00,-11.1,-19.5,50.0,0.0,,16.6,1027.9,0,1
2018-01-04 23:00:00,-12.2,-20.0,52.0,0.0,,16.6,1028.2,0,1
2018-01-05 00:00:00,-13.3,-20.0,57.0,0.0,,22.3,1028.7,0,1
2018-01-05 01:00:00,-13.3,-20.0,57.0,0.0,,18.4,1028.9,0,1
2018-01-05 02:00:00,-14.4,-20.1,62.0,0.0,,16.6,1028.9,0,1
2018-01-05 03:00:00,-15.0,-19.9,66.0,0.0,,13.0,1028.9,0,1
2018-01-05 04:00:00,-15.6,-20.0,69.0,0.0,,11.2,1028.9,0,1
2018-01-05 05:00:00,-16.1,-20.0,72.0,0.0,,7.6,1029.2,0,1
2018-01-05 06:00:00,-16.1,-20.0,72.0,0.0,,9.4,1029.0,0,1
2018-01-05 07:00:00,-16.7,-19.9,76.0,0.0,,9.4,1028.8,0,1
2018-01-05 08:00:00,-16.7,-20.5,72.0,0.0,,13.0,1029.1,0,1
2018-01-05 09:00:00,-16.7,-20.5,72.0,0.0,,14.8,1029.3,0,1
2018-01-05 10:00:00,-17.2,-20.6,75.0,0.0,,16.6,1029.5,0,1
2018-01-05 11:00:00,-17.8,-21.1,75.0,0.0,,11.2,1029.9,0,1
2018-01-05 12:00:00,-17.8,-21.1,75.0,0.0,,11.2,1030.4,0,1
2018-01-05 13:00:00,-17.2,-21.7,68.0,0.0,,16.6,1030.7,0,1
2018-01-05 14:00:00,-17.2,-21.7,68.0,0.0,,18.4,1031.3,0,1
2018-01-05 15:00:00,-15.0,-21.6,57.0,0.0,,31.7,1031.6,0,1
2018-01-05 16:00:00,-14.4,-21.0,57.0,0.0,,31.7,1032.2,0,1
2018-01-05 17:00:00,-13.3,-21.0,52.0,0.0,,25.9,1032.4,0,1
2018-01-05 18:00:00,-12.2,-20.5,50.0,0.0,,22.3,1031.9,0,1
2018-01-05 19:00:00,-12.2,-20.5,50.0,0.0,,22.3,1031.9,0,1
2018-01-05 20:00:00,-11.7,-20.5,48.0,0.0,,20.5,1032.2,0,1
2018-01-05 21:00:00,-11.7,-21.0,46.0,0.0,,20.5,1032.5,0,1
2018-01-05 22:00:00,-11.7,-21.0,46.0,0.0,,18.4,1033.2,0,1
2018-01-05 23:00:00,-12.8,-21.0,50.0,0.0,,14.8,1033.8,0,1
2018-01-06 00:00:00,-12.8,-20.6,52.0,0.0,,14.8,1034.3,0,1
2018-01-06 01:00:00,-13.9,-20.6,57.0,0.0,,11.2,1034.9,0,1
2018-01-06 02:00:00,-14.4,-20.6,59.0,0.0,,11.2,1035.3,0,1
2018-01-06 03:00:00,-15.0,-20.6,62.0,0.0,,13.0,1035.7,0,1
2018-01-06 04:00:00,-15.0,-21.0,60.0,0.0,,13.0,1035.7,0,1
2018-01-06 05:00:00,-15.6,-21.0,63.0,0.0,,9.4,1035.7,0,1
2018-01-06 06:00:00,-16.1,-21.1,65.0,0.0,,11.2,1035.7,0,1
2018-01-06 07:00:00,-16.1,-21.1,65.0,0.0,,11.2,1036.0,0,1
2018-01-06 08:00:00,-16.7,-21.0,69.0,0.0,,11.2,1036.4,0,1
2018-01-06 09:00:00,-17.2,-21.0,72.0,0.0,,13.0,1037.0,0,1
2018-01-06 10:00:00,-17.2,-21.7,68.0,0.0,,13.0,1037.3,0,1
2018-01-06 11:00:00,-17.8,-22.3,68.0,0.0,,9.4,1037.7,0,1
2018-01-06 12:00:00,-17.8,-22.3,68.0,0.0,,9.4,1037.8,0,1
2018-01-06 13:00:00,-17.8,-22.3,68.0,0.0,,14.8,1038.0,0,1
2018-01-06 14:00:00,-17.8,-21.6,72.0,0.0,,11.2,1038.6,0,1
2018-01-06 15:00:00,-16.1,-21.1,65.0,0.0,,9.4,1039.2,0,1
2018-01-06 16:00:00,-13.9,-20.0,60.0,0.0,,13.0,1039.5,0,1
2018-01-06 17:00:00,-11.7,-20.0,50.0,0.0,,14.8,1039.1,0,1
2018-01-06 18:00:00,-10.0,-19.9,44.0,0.0,,9.4,1038.5,0,1
2018-01-06 19:00:00,-10.0,-19.4,46.0,0.0,,5.4,1037.8,0,1
2018-01-06 20:00:00,-8.9,-20.0,40.0,0.0,,0.0,1037.3,0,1
2018-01-06 21:00:00,-9.4,-19.4,44.0,0.0,,7.6,1037.4,0,1
2018-01-06 22:00:00,-8.9,-20.6,38.0,0.0,,5.4,1036.7,0,1
2018-01-06 23:00:00,-9.4,-20.5,40.0,0.0,,9.4,1036.5,0,1
2018-01-07 00:00:00,-10.0,-19.4,46.0,0.0,,9.4,1035.6,0,1
2018-01-07 01:00:00,-11.1,-18.8,53.0,0.0,,13.0,1036.0,0,1
2018-01-07 02:00:00,-12.8,-18.4,63.0,0.0,,13.0,1035.9,0,1
2018-01-07 03:00:00,-13.3,-18.8,63.0,0.0,,13.0,1034.6,0,1
2018-01-07 04:00:00,-13.9,-20.0,60.0,0.0,,13.0,1033.9,0,1
2018-01-07 05:00:00,-13.9,-20.6,57.0,0.0,,9.4,1033.6,0,1
2018-01-07 06:00:00,-13.3,-20.0,57.0,0.0,,11.2,1032.0,0,1
2018-01-07 07:00:00,-12.8,-19.3,58.0,0.0,,18.4,1031.2,0,1
2018-01-07 08:00:00,-11.7,-17.7,61.0,0.0,,18.4,1030.1,0,1
2018-01-07 09:00:00,-10.6,-17.2,58.0,0.0,,14.8,1029.1,0,1
2018-01-07 10:00:00,-9.4,-16.7,55.0,0.0,,20.5,1028.1,0,1
2018-01-07 11:00:00,-8.9,-15.6,58.0,,,24.1,1027.2,0,1
2018-01-07 12:00:00,-8.9,-13.4,70.0,,,25.9,1025.5,0,1
2018-01-07 13:00:00,-8.3,-14.3,62.0,0.0,,29.5,1025.0,0,1
2018-01-07 14:00:00,-7.8,-14.4,59.0,0.0,,25.9,1024.3,0,1
2018-01-07 15:00:00,-6.7,-13.8,57.0,0.0,,25.9,1023.5,0,1
2018-01-07 16:00:00,-5.6,-12.7,57.0,0.0,,25.9,1023.2,0,1
2018-01-07 17:00:00,-5.0,-11.1,62.0,0.0,,25.9,1022.2,0,1
2018-01-07 18:00:00,-4.4,-10.0,65.0,0.0,,24.1,1021.1,0,0
2018-01-07 19:00:00,-3.3,-9.3,63.0,0.0,,29.5,1019.6,0,0
2018-01-07 20:00:00,-2.8,-5.6,81.0,0.0,,22.3,1018.7,0,0
2018-01-07 21:00:00,-2.2,-6.0,75.0,0.0,,24.1,1018.2,0,0
2018-01-07 22:00:00,-1.7,-5.5,75.0,0.0,,24.1,1017.7,0,0
2018-01-07 23:00:00,-1.1,-5.0,75.0,0.0,,24.1,1017.5,0,0
2018-01-08 00:00:00,-0.6,-4.3,76.0,0.0,,22.3,1017.0,0,0
2018-01-08 01:00:00,0.0,-5.0,69.0,0.0,,25.9,1016.4,0,0
2018-01-08 02:00:00,0.0,-4.4,72.0,0.0,,22.3,1016.0,0,0
2018-01-08 03:00:00,0.6,-2.8,78.0,0.2,,24.1,1015.2,0,0
2018-01-08 04:00:00,0.6,-1.6,85.0,0.3,,27.7,1014.7,0,0
2018-01-08 05:00:00,0.0,-1.1,92.0,0.5,,20.5,1014.1,0,0
2018-01-08 06:00:00,0.6,-0.5,92.0,0.0,,22.3,1013.8,0,0
2018-01-08 07:00:00,1.1,-0.1,92.0,0.0,,20.5,1013.0,0,0
2018-01-08 08:00:00,1.1,0.5,96.0,0.0,,22.3,1012.9,0,0
2018-01-08 09:00:00,1.1,0.5,96.0,0.0,,27.7,1013.6,0,0
2018-01-08 10:00:00,1.1,0.5,96.0,0.0,,18.4,1013.9,0,0
2018-01-08 11:00:00,1.1,0.5,96.0,0.0,,27.7,1013.9,0,0
2018-01-08 12:00:00,1.1,-0.1,92.0,0.0,,24.1,1015.0,0,0
2018-01-08 13:00:00,1.1,-0.1,92.0,0.0,,18.4,1015.9,0,0
2018-01-08 14:00:00,1.1,-0.7,88.0,0.0,,13.0,1016.7,0,0
2018-01-08 15:00:00,1.1,-1.1,85.0,0.0,,16.6,1017.4,0,0
2018-01-08 16:00:00,1.1,-1.1,85.0,0.0,,20.5,1017.9,0,0
2018-01-08 17:00:00,1.7,-1.7,78.0,0.0,,25.9,1017.8,0,0
